"ID","X","Y","SIGLA_PAIS","UC","Garimpo+5k","CD_MUN","NM_MUN","UF","Bacia Hidr","Reg ANAC","CIAD"
889,-63.173872,-8.955308,"BRA","ESTAÇÃO ECOLÓGICA SAMUEL","NÃO",1100809,"Candeias do Jamari","RO","Madeira","NÃO",
2117,-60.623021,-9.47585,"BRA",,"NÃO",5103254,"Colniza","MT","Madeira","NÃO",
711,-61.176473,-12.261902,"BRA",,"NÃO",1100924,"Chupinguaia","RO","Madeira","SIM","RO0022"
684,-65.284848,-10.786447,"BRA",,"NÃO",1100106,"Guajará-Mirim","RO","Madeira","SIM","RO0006"
1106,-60.230877,-5.566145,"BRA",,"NÃO",1303304,"Novo Aripuanã","AM","Madeira","NÃO",
786,-61.388173,-10.610798,"BRA",,"NÃO",5107578,"Rondolândia","MT","Madeira","NÃO",
968,-58.038175,-5.018879,"BRA","FLORESTA NACIONAL DE PAU-ROSA","NÃO",1302900,"Maués","AM","Madeira","NÃO",
2823,-59.796013,-13.634038,"BRA",,"NÃO",5103304,"Comodoro","MT","Madeira","NÃO",
1102,-60.923415,-7.719448,"BRA",,"NÃO",1303304,"Novo Aripuanã","AM","Madeira","NÃO",
1946,-59.925375,-15.699006,"BRA",,"NÃO",5106752,"Pontes e Lacerda","MT","Madeira","SIM","MT0633"
2068,-60.861959,-9.912188,"BRA",,"NÃO",5107578,"Rondolândia","MT","Madeira","NÃO",
2076,-59.715935,-16.255922,"BRA",,"NÃO",5105507,"Vila Bela da Santíssima Trindade","MT","Madeira","SIM","MT0435"
705,-61.806669,-9.29302,"BRA",,"NÃO",1100130,"Machadinho D'Oeste","RO","Madeira","SIM","RO0029"
2672,-60.270235,-13.450639,"BRA",,"NÃO",5103304,"Comodoro","MT","Madeira","SIM","MT0332"
1144,-57.724728,-3.372544,"BRA",,"NÃO",1302900,"Maués","AM","Madeira","NÃO",
2123,-59.648186,-9.143524,"BRA",,"NÃO",5103254,"Colniza","MT","Madeira","NÃO",
708,-66.331311,-9.771308,"BRA",,"NÃO",1100205,"Porto Velho","RO","Madeira","NÃO",
783,-61.399896,-9.735495,"BRA",,"NÃO",5103254,"Colniza","MT","Madeira","NÃO",
2777,-59.91406,-14.120941,"BRA",,"NÃO",5106182,"Nova Lacerda","MT","Madeira","SIM","MT0630"
695,-60.52429,-13.113435,"BRA",,"NÃO",1100064,"Colorado do Oeste","RO","Madeira","NÃO",
2730,-59.660739,-15.119066,"BRA",,"NÃO",5105507,"Vila Bela da Santíssima Trindade","MT","Madeira","NÃO",
2388,-57.440593,-5.083886,"BRA","FLORESTA NACIONAL DO AMANÁ","SIM",1503606,"Itaituba","PA","Madeira","NÃO",
681,-65.347214,-10.39995,"BRA",,"NÃO",1100338,"Nova Mamoré","RO","Madeira","NÃO",
1213,-62.057958,-8.935605,"BRA",,"NÃO",1100130,"Machadinho D'Oeste","RO","Madeira","NÃO",
2383,-57.470206,-4.791265,"BRA","FLORESTA NACIONAL DO AMANÁ","SIM",1503606,"Itaituba","PA","Madeira","NÃO",
965,-58.577059,-5.865913,"BRA","FLORESTA NACIONAL DE URUPADI","NÃO",1302900,"Maués","AM","Madeira","NÃO",
2627,-59.625392,-14.955056,"BRA",,"NÃO",5105507,"Vila Bela da Santíssima Trindade","MT","Madeira","SIM","MT0269"
1206,-61.795257,-13.506713,"BRA",,"NÃO",1101468,"Pimenteiras do Oeste","RO","Madeira","NÃO",
1109,-59.034108,-6.790068,"BRA",,"NÃO",1300144,"Apuí","AM","Madeira","NÃO",
2621,-60.333132,-14.049399,"BRA",,"NÃO",5105507,"Vila Bela da Santíssima Trindade","MT","Madeira","NÃO",
144,-60.152688,-13.315519,"BRA",,"NÃO",5103304,"Comodoro","MT","Madeira","NÃO",
2628,-59.384589,-15.194643,"BRA",,"NÃO",5106752,"Pontes e Lacerda","MT","Madeira","SIM","MT0009"
1223,-60.44304,-12.220717,"BRA",,"NÃO",1100189,"Pimenta Bueno","RO","Madeira","SIM","RO0079"
2842,-60.283904,-13.632093,"BRA",,"NÃO",5103304,"Comodoro","MT","Madeira","SIM","MT0204"
2395,-57.660592,-5.311248,"BRA","FLORESTA NACIONAL DO AMANÁ","SIM",1503606,"Itaituba","PA","Madeira","NÃO",
2369,-57.364795,-5.172174,"BRA","FLORESTA NACIONAL DO AMANÁ","SIM",1503606,"Itaituba","PA","Madeira","NÃO",
1745,-61.050454,-7.987935,"BRA",,"NÃO",1303304,"Novo Aripuanã","AM","Madeira","SIM","AM0031"
1224,-61.993722,-12.558537,"BRA",,"NÃO",1100379,"Alto Alegre dos Parecis","RO","Madeira","SIM","RO0030"
1812,-59.920163,-16.008867,"BRA",,"NÃO",5105507,"Vila Bela da Santíssima Trindade","MT","Madeira","SIM","MT0415"
1573,-59.116353,-10.69503,"BRA",,"NÃO",5101407,"Aripuanã","MT","Madeira","NÃO",
718,-61.240455,-13.00524,"BRA",,"NÃO",1100072,"Corumbiara","RO","Madeira","SIM","RO0015"
