ID,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOMESC,ENDESC,NUMESC,COMPLEND,ENDERECO,BAIESC,CODCEP,FONE1,FONE2,EMAIL,ED_DIRETOR,DIRETORIA,DRE,ED_ZONA,ZONA,CODESC,CODESCMEC,COD_EOL,ED_DEPADM,DEPADM,ED_TIPO,TIPO,ED_CATEG,CATEG,ALCRECHE,ALPRE,ALEE,AL9INI,AL9FIN,ALEM,ALPROF,ALEJAFUND,ALEJAEM,AL_TOTAL,CLCRECHE,CLPRE,CLEE,CL9INI,CL9FIN,CLEM,CLPROF,CLEJAFUND,CLEJAEM,CL_TOTAL,x,y
1,355030840000008,3550308005109,40,JAGUARA,08,LAPA,Oeste,Oeste,AYRES DE MOURA PROFESSOR,RUA ARTUR ORLANDO,907,RUA,RUA ARTUR ORLANDO,VILA JAGUARA,05118000,36251934,-,,10101,Norte 1,,1,URBANA,,35000012,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,549,0,0,0,0,549,0,0,0,0,16,0,0,0,0,16,-46.74948228283214,-23.512635936030613
2,355030861000021,3550308005243,61,PERUS,01,PERUS,Norte,Norte 2,GAVIAO PEIXOTO BRIGADEIRO,MOGEIRO,710,RUA,MOGEIRO,VILA PERUS,05208230,39156810,,-,10101,Norte 1,,1,URBANA,,35000024,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,443,525,1014,0,0,284,2266,0,0,0,16,17,27,0,0,6,66,-46.75927132406839,-23.404814707303522
3,355030829000161,3550308005119,29,FREGUESIA DO O,03,FREGUESIA-BRASILANDIA,Norte,Norte 2,JOAO SOLIMEO,DO SABAO,1497,ESTRADA,DO SABAO,JARDIM MARISTELA,02806000,39228491,,,10101,Norte 1,-,1,URBANA,,35000036,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,940,1176,0,0,0,2116,0,0,0,0,28,31,0,0,0,59,-46.698409031587516,-23.469274494520683
4,355030811000058,3550308005189,11,BRASILANDIA,03,FREGUESIA-BRASILANDIA,Norte,Norte 2,WALFREDO ARANTES CALDAS PROFESSOR,DEPUTADO CANTIDIO SAMPAIO,1701,,DEPUTADO CANTIDIO SAMPAIO,VILA SOUZA,02860001,38513005,,,10101,Norte 1,,1,URBANA,,35000048,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,0,1082,0,0,0,1082,0,0,0,0,0,31,0,0,0,31,-46.679440596720724,-23.463716708663473
5,355030803000008,3550308005307,3,ANHANGUERA,01,PERUS,Norte,Norte 2,SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR,RUA FRANCISCO GIRON,SN,ESTRADA,RUA FRANCISCO GIRON,MORRO DOCE,05267000,39111913,,,10101,Norte 1,,1,URBANA,,35000059,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,0,1258,0,0,0,1258,0,0,0,0,0,32,0,0,0,32,-46.79220443842876,-23.437890549772536
6,355030861000010,3550308005243,61,PERUS,01,PERUS,Norte,Norte 2,SUZANA DE CAMPOS DONA,ANTONIO MAIA,691,RUA,ANTONIO MAIA,VILA PERUS,05204110,39156049,,,10101,Norte 1,,1,URBANA,-,35000061,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,901,0,0,0,0,0,901,0,0,0,30,0,0,0,0,0,30,-46.755249187769564,-23.407069895495745
7,355030811000107,3550308005121,11,BRASILANDIA,03,FREGUESIA-BRASILANDIA,Norte,Norte 2,JULIO DE FARIA E SOUZA PROFESSOR,POMPEU PEQUENO DE SOUZA BRASIL,89,RUA,POMPEU PEQUENO DE SOUZA BRASIL,VILA FRANCOS,02881100,39836541,,,10101,Norte 1,,1,URBANA,,35000073,-,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,406,0,0,0,0,0,406,0,0,0,17,0,0,0,0,0,17,-46.67459550101169,-23.46741595103513
8,355030863000087,3550308005113,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,JULIO CESAR DE OLIVEIRA PROFESSOR,ALBERTO VEIGA,99,RUA,ALBERTO VEIGA,VILA PIRITUBA,05172270,39016776,,,10101,Norte 1,,1,URBANA,,35000085,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,591,0,0,0,0,0,591,0,0,0,21,0,0,0,0,0,21,-46.74616216709094,-23.48155466984359
9,355030811000218,3550308005122,11,BRASILANDIA,03,FREGUESIA-BRASILANDIA,Norte,Norte 2,RENATO DE ARRUDA PENTEADO PROFESSOR,FLORIANO DA COSTA BARROSO,10,RUA,FLORIANO DA COSTA BARROSO,JARDIM CAROMBE,02855220,39213350,,,10101,Norte 1,,1,URBANA,,35000097,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,0,886,0,0,190,1076,0,0,0,0,0,23,0,0,4,27,-46.7019675613733,-23.458236187656652
10,355030811000302,3550308005121,11,BRASILANDIA,03,FREGUESIA-BRASILANDIA,Norte,Norte 2,JOAO BOEMER JARDIM PROFESSOR,CRISTOVAO SANTIAGO,50,RUA,CRISTOVAO SANTIAGO,JARDIM ONDINA,02871040,39836988,,,10101,Norte 1,,1,URBANA,,35000103,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,959,0,0,0,0,0,959,0,0,0,32,0,0,0,0,0,32,-46.674059475334644,-23.46121392468825
11,355030842000067,3550308005188,42,JARAGUA,02,PIRITUBA-JARAGUA,Norte,Norte 2,FRANCISCO FARIA NETO PROFESSOR,SILVERIO DE CASTRO SOUSA,102,RUA,SILVERIO DE CASTRO SOUSA,JARDIM SYDNEY,02982000,39721060,,,10101,Norte 1,,1,URBANA,,35000115,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,845,0,0,0,0,0,845,0,0,0,28,0,0,0,0,0,28,-46.71642691893522,-23.45094920721701
12,355030840000008,3550308005109,40,JAGUARA,08,LAPA,Oeste,Oeste,JOSE ALTENFELDER SILVA PROFESSOR,CARLOS ALBERTO VANZOLINI,397,RUA,CARLOS ALBERTO VANZOLINI,VILA DOS REMEDIOS,05103060,36212670,,,10101,Norte 1,,1,URBANA,,35000127,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,713,0,0,0,0,0,713,0,0,0,24,0,0,0,0,0,24,-46.75153671310336,-23.51397980058088
13,355030863000043,3550308005112,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,MARIANO DE OLIVEIRA PROFESSOR,RUA ALMIRANTE ISAIAS DE NORONHA,13,RUA,RUA ALMIRANTE ISAIAS DE NORONHA,VILA PEREIRA BARRETO,02919100,39918399,,,10101,Norte 1,,1,URBANA,,35000139,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,349,1129,0,0,274,1752,0,0,0,0,12,29,0,0,6,47,-46.71562983624657,-23.491432160944175
14,355030863000104,3550308005112,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,SILVIO XAVIER ANTUNES PROFESSOR,JOSE DA SILVA MARTHA,150,RUA,JOSE DA SILVA MARTHA,PIQUERI,02913100,39912921,,,10101,Norte 1,,1,URBANA,,35000140,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,176,250,0,0,0,426,0,0,0,0,8,8,0,0,0,16,-46.71291206611117,-23.501699111390277
15,355030895000010,3550308005110,95,SAO DOMINGOS,02,PIRITUBA-JARAGUA,Norte,Norte 2,OCTAVIO MONTEIRO DE CASTRO PROFESSOR,ITAQUIRAI,01,PRACA,ITAQUIRAI,VILA MANGALOT,05132110,38315833,,,10101,Norte 1,,1,URBANA,,35000152,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,266,0,0,0,0,0,266,0,0,0,11,0,0,0,0,0,11,-46.744593214992335,-23.504784915082688
16,355030840000008,3550308005109,40,JAGUARA,08,LAPA,Oeste,Oeste,PIO TELLES PEIXOTO PROFESSOR,ARTUR ORLANDO,985,RUA,ARTUR ORLANDO,VILA JAGUARA,05118000,36225997,,,10101,Norte 1,,1,URBANA,,35000164,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,241,336,0,0,119,696,0,0,0,0,9,10,0,0,3,22,-46.74847926921068,-23.511111932123217
17,355030895000051,3550308005111,95,SAO DOMINGOS,02,PIRITUBA-JARAGUA,Norte,Norte 2,ZENAIDE VILALVA DE ARAUJO PROFESSORA,BELO JARDIM,674,RUA,BELO JARDIM,JARDIM MUTINGA,05159200,39040216,,,10101,Norte 1,,1,URBANA,,35000176,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,378,373,0,0,0,751,0,0,0,0,11,11,0,0,0,22,-46.74949832456575,-23.488175690472488
18,355030840000015,3550308005109,40,JAGUARA,08,LAPA,Oeste,Oeste,ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR,MUTINGA,5071,AVENIDA,MUTINGA,JARDIM SANTO ELIAS,05110000,36214575,,,10101,Norte 1,,1,URBANA,,35000188,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,443,485,0,0,0,928,0,0,0,0,13,12,0,0,0,25,-46.75807892090883,-23.50474376745724
19,355030863000238,3550308005113,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,AGENOR COUTO DE MAGALHAES DOUTOR,GUILHERME MANKEL,99,AVENIDA,GUILHERME MANKEL,VILA CLARICE,05176000,39013235,,,10101,Norte 1,,1,URBANA,,35000197,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,0,225,431,0,0,305,961,0,0,0,0,8,13,0,0,8,29,-46.746783703745166,-23.471309179823283
20,355030863000050,3550308005114,63,PIRITUBA,02,PIRITUBA-JARAGUA,Norte,Norte 2,ALIPIO DE BARROS PROFESSOR,AVENIDA COMENDADOR FEIZ ZARZUR,SN,AVENIDA,AVENIDA COMENDADOR FEIZ ZARZUR,JARDIM CIDADE PIRITUBA,02942000,39727243,,,10101,Norte 1,,1,URBANA,,35000206,,2,ESTADUAL-SE,201,EE,1,ESCOLAS AUTONOMAS,0,0,0,616,0,0,0,0,0,616,0,0,0,22,0,0,0,0,0,22,-46.71891491455824,-23.47982187785314
