mun_codigo;mun_nome;set_cens_cod;ipvs_grupo;renda_media_dom;renda_media_per_capita
3500105;Adamantina;350010505000001;2;2948,020134;1444,917763
3500105;Adamantina;350010505000002;2;2946,901361;1103,680255
3500105;Adamantina;350010505000003;2;4286,584112;1767,493256
3500105;Adamantina;350010505000004;2;4030,128472;1472,940355
3500105;Adamantina;350010505000005;2;3691,319588;1321,247232
3500105;Adamantina;350010505000006;2;3052,725166;1063,348328
3500105;Adamantina;350010505000007;4;2223,378947;751,6761566
3500105;Adamantina;350010505000008;2;2480,207612;866,7230955
3500105;Adamantina;350010505000009;4;2020,108374;728,3872114
3500105;Adamantina;350010505000010;4;1743,876543;577,3324251
3500105;Adamantina;350010505000011;2;2797,58805;1002,968433
3500105;Adamantina;350010505000012;2;5088,209877;1661875
3500105;Adamantina;350010505000013;2;1780,786885;610,2696629
3500105;Adamantina;350010505000014;4;2017,353503;696,8635864
3500105;Adamantina;350010505000015;4;1463085;476,5749186
3500105;Adamantina;350010505000016;4;1109,170103;333,0944272
3500105;Adamantina;350010505000017;4;1276,716216;402,0297872
3500105;Adamantina;350010505000018;2;3534;1135,194767
3500105;Adamantina;350010505000019;2;1827,798137;591,5085427
3500105;Adamantina;350010505000020;4;1919,316279;664,4975845
3500105;Adamantina;350010505000021;2;4091,421801;1460,72758
3500105;Adamantina;350010505000022;2;2594,634043;858,7873239
3500105;Adamantina;350010505000023;2;2345,105691;758,0762155
3500105;Adamantina;350010505000024;4;2162,342246;739,2285192
3500105;Adamantina;350010505000025;2;1968,179389;655,2261753
3500105;Adamantina;350010505000026;2;3269,946746;1183,342612
3500105;Adamantina;350010505000027;4;1430,515152;422,7492537
3500105;Adamantina;350010505000028;4;1470,397626;478,7671498
3500105;Adamantina;350010505000029;4;1329,277603;412,7140059
3500105;Adamantina;350010505000030;2;1736,399381;614,3012048
3500105;Adamantina;350010505000031;4;1524,336232;486,9407407
3500105;Adamantina;350010505000032;0; ; 
3500105;Adamantina;350010505000033;2;1387,580756;417,565667
3500105;Adamantina;350010505000034;2;2509,252577;952,6320939
3500105;Adamantina;350010505000035;5;1274,553191;370,9226006
3500105;Adamantina;350010505000036;2;2753,233503;995,2055046
3500105;Adamantina;350010505000037;2;2678,148305;918,6671512
3500105;Adamantina;350010505000038;3;2449,82243;755,4207493
3500105;Adamantina;350010505000039;3;3379,653846;1231,836449
3500105;Adamantina;350010505000041;0;2155,384615;636,8181818
3500105;Adamantina;350010505000042;3;2560,532468;904,4082569
3500105;Adamantina;350010505000043;0;6484,090909;2097,794118
3500105;Adamantina;350010505000044;4;1488,905303;482,2957055
3500105;Adamantina;350010505000045;0; ; 
3500105;Adamantina;350010505000048;0;1436,630435;485,9191176
3500105;Adamantina;350010505000049;2;1711,381818;588,2875
3500105;Adamantina;350010505000050;2;2060,7;670,1463415
3500105;Adamantina;350010505000051;0; ; 
3500105;Adamantina;350010505000052;2;1718,987179;601,2600897
3500105;Adamantina;350010505000053;0;1757,659091;529,7054795
3500105;Adamantina;350010505000054;2;1821,051282;572,75
3500105;Adamantina;350010505000055;0;1530,2;467,2366412
3500105;Adamantina;350010505000056;0; ; 
3500105;Adamantina;350010505000057;0;1189,074074;386,8072289
3500105;Adamantina;350010505000058;0;1367,966667;406,3267327
3500105;Adamantina;350010505000059;0;2417,266667;750,1862069
3500105;Adamantina;350010505000060;0;1591,615385;526,0423729
3500105;Adamantina;350010505000061;0;1292,809524;448,7438017
3500105;Adamantina;350010505000062;2;3120,080745;1243,398515
3500105;Adamantina;350010505000063;2;2456,477273;939,8695652
3500105;Adamantina;350010505000066;0;3098,5;1264,693878
3500105;Adamantina;350010505000067;2;1967,892086;665,540146
3500105;Adamantina;350010505000068;0; ; 
3500105;Adamantina;350010505000069;0;1598;614,6153846
3500105;Adamantina;350010505000070;0; ; 
3500105;Adamantina;350010505000071;0;1325,714286;515,5555556
3500105;Adamantina;350010505000073;4;1626,572193;527,1559792
3500105;Adamantina;350010505000075;0; ; 
3500105;Adamantina;350010505000076;0;2374,166667;890,3125
3500105;Adamantina;350010505000077;4;1702,629139;577,7460674
3500105;Adamantina;350010505000078;4;1353,708696;436,0686275
3500105;Adamantina;350010505000080;0; ; 
3500105;Adamantina;350010505000081;3;1782,795276;544,2668269
3500105;Adamantina;350010505000083;0;5198,208333;1579,202532
3500105;Adamantina;350010505000084;0;1610;805
3500105;Adamantina;350010505000085;0;2553,714286;777,2173913
3500204;Adolfo;350020405000001;4;1727,443089;597,6807314
3500204;Adolfo;350020405000002;4;1456,064103;491,6580087
3500204;Adolfo;350020405000003;4;1798,447099;597,4433107
3500204;Adolfo;350020405000004;4;1813,327586;605,1380898
3500204;Adolfo;350020405000005;0;1728,333333;691,3333333
3500204;Adolfo;350020405000007;0;1898,666667;607,5733333
3500204;Adolfo;350020405000008;2;1387,22;453,3398693
3500204;Adolfo;350020405000009;0;2810,088889;980,2635659
3500303;Agua�;350030305000001;2;3704,664384;1563,239884
3500303;Agua�;350030305000002;2;4072,921986;1468,751918
3500303;Agua�;350030305000003;2;2437,318681;809,4744526
3500303;Agua�;350030305000004;2;3069,573864;982,2636364
3500303;Agua�;350030305000005;2;2610,419355;859,359292
3500303;Agua�;350030305000006;2;1923,991632;655,034188
3500303;Agua�;350030305000007;2;2358,650307;833,0660888
3500303;Agua�;350030305000008;4;1887,609023;622,9578164
3500303;Agua�;350030305000009;3;3401,050459;1169,446372
3500303;Agua�;350030305000010;2;2913,930435;1050,476489
3500303;Agua�;350030305000011;4;2267,416667;764,2977528
3500303;Agua�;350030305000012;4;1841,177419;603,984127
3500303;Agua�;350030305000013;4;1436,225225;520,9836601
3500303;Agua�;350030305000014;4;1591,245283;484,6896552
3500303;Agua�;350030305000015;4;1500,24;459,793345
3500303;Agua�;350030305000016;5;1472,851852;468,6346801
3500303;Agua�;350030305000017;4;1135,973404;348,3898858
3500303;Agua�;350030305000018;4;1628,48249;549,2388451
3500303;Agua�;350030305000019;2;1653,360465;533,5422139
3500303;Agua�;350030305000020;2;1719,412088;566,9076087
3500303;Agua�;350030305000021;5;1616,772727;490,6068966
3500303;Agua�;350030305000022;4;1516,203966;455,506383
3500303;Agua�;350030305000023;5;1456,533569;423,6372045
3500303;Agua�;350030305000024;5;1376,342105;396,5952607
3500303;Agua�;350030305000025;4;1243,04902;388,3338438
3500303;Agua�;350030305000026;4;1803,568807;516,6596583
3500303;Agua�;350030305000027;4;1614,957655;467,2874647
3500303;Agua�;350030305000028;4;1600,280423;461,7603053
3500303;Agua�;350030305000029;5;1317,445545;367,5745856
3500303;Agua�;350030305000030;5;1216,606272;325,4109972
3500303;Agua�;350030305000031;2;2288,408451;835,3573265
3500303;Agua�;350030305000032;2;2023,106667;659,7086957
3500303;Agua�;350030305000033;4;1497,028169;427,4356568
3500303;Agua�;350030305000034;5;1262,379518;342,4101307
3500303;Agua�;350030305000035;2;1951,216667;643,2582418
3500303;Agua�;350030305000036;5;998,5316456;294,3432836
3500303;Agua�;350030305000038;3;1349,15;384,0996441
3500303;Agua�;350030305000039;2;1656,969925;508,9538106
3500303;Agua�;350030305000040;2;1305,986928;402,8548387
3500303;Agua�;350030305000041;3;1505,054264;435,3183857
3500303;Agua�;350030305000042;3;1407,349593;402,5674419
3500303;Agua�;350030305000043;2;1404,672131;411,9471154
3500303;Agua�;350030305000044;3;1480,735632;429,4133333
3500303;Agua�;350030305000045;7;848,0487805;256,6051661
3500303;Agua�;350030305000046;2;1944,186747;629,1130604
3500303;Agua�;350030305000047;4;1277,944444;404,9823944
3500303;Agua�;350030305000048;3;1706405;475,321727
3500303;Agua�;350030305000049;5;1325,668831;372,5419708
3500303;Agua�;350030305000050;5;1223,494845;335,8839623
3500303;Agua�;350030305000051;4;846,4461538;226,4156379
3500303;Agua�;350030305000052;5;749,6931818;186,3644068
3500402;�guas da Prata;350040205000001;2;2388,909091;1006,391489
3500402;�guas da Prata;350040205000002;2;2822,964497;939,1358268
3500402;�guas da Prata;350040205000003;2;3140,03252;1159,831832
3500402;�guas da Prata;350040205000004;2;3267,278912;1312,26776
3500402;�guas da Prata;350040205000005;2;2099,039106;815,0281996
3500402;�guas da Prata;350040205000006;2;2176,070352;708,7364975
3500402;�guas da Prata;350040205000007;2;2977,198276;950,0825309
3500402;�guas da Prata;350040205000008;2;2112,244318;719,0618956
3500402;�guas da Prata;350040205000010;2;3218,66443;1192,987562
3500402;�guas da Prata;350040205000011;4;1467,283333;453,7989691
