municipio,codigo,gentilico,prefeito_2021,area_territorial_km2_2022,populacao_residente_pessoas_2022,densidade_demografica_hab_km2_2022,escolarizacao_span_6_a_14_anos_span_2010,idhm_span_indice_de_desenvolvimento_humano_municipal_span_2010,mortalidade_infantil_obitos_por_mil_nascidos_vivos_2020,receitas_realizadas_r_x1000_2017,despesas_empenhadas_r_x1000_2017,pib_per_capita_r_2020
Alvarães,1300029,alvarãense,LUCENILDO DE SOUZA MACEDO,5923.461,15866,2.68,75.3,0.527,12.59,38845.40139,30986.94366,11995.57
Amaturá,1300060,amaturaense,JOSE AUGUSTO BARROZO EUFRASIO,4754.109,10819,2.28,86.3,0.56,26.42,28640.36058,28695.24859,8689.3
Anamã,1300086,anamãense,FRANCISCO NUNES BASTOS,2446.121,9962,4.07,93.6,0.594,4.39,28005.85764,22667.93379,9310.13
Anori,1300102,anoriense,REGINALDO NAZARE DA COSTA,6036.38,17194,2.85,84.9,0.561,15.5,40989.54516,35525.43595,10017.54
Apuí,1300144,apuiense,MARCOS ANTONIO LISE,54240.545,20647,0.38,93.4,0.637,11.32,38939.07821,32864.8987,12170.22
Atalaia do Norte,1300201,atalaiense,DENIS LINDER ROJAS DE PAIVA,76507.617,15314,0.2,65.5,0.45,42.86,48638.5964,44193.3168,8469.49
Autazes,1300300,autazense,ANDRESON ADRIANO OLIVEIRA CAVALCANTE,7652.852,41582,5.43,94.6,0.577,12.14,77151.96604,67700.34349,11092.32
Barcelos,1300409,barcelense,EDSON DE PAULA RODRIGUES MENDES,122461.086,18831,0.15,64.7,0.5,12.07,45272.18238,33700.14721,7544.4
Barreirinha,1300508,barreirinhense,GLENIO JOSE MARQUES SEIXAS,5751.765,31065,5.4,97.5,0.574,13,73846.53905,61253.96215,9652.53
Benjamin Constant,1300607,benjamin-constantense,DAVID NUNES BEMERGUY,8705.441,37648,4.32,89.6,0.574,14.23,94229.92065,80057.41934,7951.34
Beruri,1300631,beruriense,MARIA LUCIR DOS SANTOS DE OLIVEIRA,17472.779,20718,1.19,90.4,0.506,9.8,49151.43239,44787.64989,9068.84
